Sat 02/16/2019 17:44:37.25 Initial tracert (trace route) to www.google.com 

Tracing route to www.google.com [216.58.192.4]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
  2     4 ms     3 ms    <1 ms  10.1.27.1 
  3    33 ms     2 ms     1 ms  66.29.178.205.static.utbb.net [66.29.178.205] 
  4     2 ms     2 ms     2 ms  204.14.21.158.static.utbb.net [204.14.21.158] 
  5     5 ms     4 ms     4 ms  66.29.191.205.static.utbb.net [66.29.191.205] 
  6    20 ms    20 ms    21 ms  eqixsj-google-gige.google.com [206.223.116.21] 
  7    22 ms    22 ms    22 ms  108.170.242.241 
  8    52 ms    48 ms    50 ms  108.170.237.147 
  9    38 ms    24 ms    23 ms  nuq04s29-in-f4.1e100.net [216.58.192.4] 

Trace complete.
Sat 02/16/2019 17:48:12.68 Pinging www.google.com 
Sat 02/16/2019 17:48:13.73 Pinging www.google.com 
Sat 02/16/2019 17:48:14.82 Pinging www.google.com 
Sat 02/16/2019 17:48:15.86 Pinging www.google.com 
Sat 02/16/2019 17:48:16.91 Pinging www.google.com 
Sat 02/16/2019 17:48:17.98 Pinging www.google.com 
Sat 02/16/2019 17:48:19.04 Pinging www.google.com 
Sat 02/16/2019 17:48:20.08 Pinging www.google.com 
Sat 02/16/2019 17:48:21.12 Pinging www.google.com 
Sat 02/16/2019 17:48:22.17 Pinging www.google.com 
Sat 02/16/2019 17:48:23.21 Pinging www.google.com 
Sat 02/16/2019 17:48:24.25 Pinging www.google.com 
Sat 02/16/2019 17:48:25.30 Pinging www.google.com 
Sat 02/16/2019 17:48:26.34 Pinging www.google.com 
Sat 02/16/2019 17:48:27.39 Pinging www.google.com 
Sat 02/16/2019 17:48:28.43 Pinging www.google.com 
Sat 02/16/2019 17:48:29.47 Pinging www.google.com 
Sat 02/16/2019 17:48:30.52 Pinging www.google.com 
Sat 02/16/2019 17:48:31.57 Pinging www.google.com 
Sat 02/16/2019 17:48:32.61 Pinging www.google.com 
Sat 02/16/2019 17:48:33.65 Pinging www.google.com 
Sat 02/16/2019 17:48:34.73 Pinging www.google.com 
Sat 02/16/2019 17:48:35.77 Pinging www.google.com 
Sat 02/16/2019 17:48:36.86 Pinging www.google.com 
Sat 02/16/2019 17:48:37.91 Pinging www.google.com 
Sat 02/16/2019 17:48:39.00 Pinging www.google.com 
Sat 02/16/2019 17:48:40.05 Pinging www.google.com 
Sat 02/16/2019 17:48:41.12 Pinging www.google.com 
Sat 02/16/2019 17:48:42.17 Pinging www.google.com 
Sat 02/16/2019 17:48:43.21 Pinging www.google.com 
Sat 02/16/2019 17:48:44.25 Pinging www.google.com 
Sat 02/16/2019 17:48:45.29 Pinging www.google.com 
Sat 02/16/2019 17:48:46.34 Pinging www.google.com 
Sat 02/16/2019 17:48:47.38 Pinging www.google.com 
Sat 02/16/2019 17:48:48.43 Pinging www.google.com 
Sat 02/16/2019 17:48:49.48 Pinging www.google.com 
Sat 02/16/2019 17:48:50.53 Pinging www.google.com 
Sat 02/16/2019 17:48:51.57 Pinging www.google.com 
Sat 02/16/2019 17:48:52.62 Pinging www.google.com 
Sat 02/16/2019 17:48:53.66 Pinging www.google.com 
Sat 02/16/2019 17:48:54.71 Pinging www.google.com 
Sat 02/16/2019 17:48:55.75 Pinging www.google.com 
Sat 02/16/2019 17:48:56.80 Pinging www.google.com 
Sat 02/16/2019 17:48:57.84 Pinging www.google.com 
Sat 02/16/2019 17:48:58.88 Pinging www.google.com 
Sat 02/16/2019 17:48:59.92 Pinging www.google.com 
Sat 02/16/2019 17:49:00.97 Pinging www.google.com 
Sat 02/16/2019 17:49:02.02 Pinging www.google.com 
Sat 02/16/2019 17:49:03.06 Pinging www.google.com 
Sat 02/16/2019 17:49:04.10 Pinging www.google.com 
Sat 02/16/2019 17:49:05.14 Pinging www.google.com 
Sat 02/16/2019 17:49:06.19 Pinging www.google.com 
Sat 02/16/2019 17:49:07.24 Pinging www.google.com 
Sat 02/16/2019 17:49:08.28 Pinging www.google.com 
Sat 02/16/2019 17:49:09.32 Pinging www.google.com 
Sat 02/16/2019 17:49:10.37 Pinging www.google.com 
Sat 02/16/2019 17:49:11.41 Pinging www.google.com 
Sat 02/16/2019 17:49:12.45 Pinging www.google.com 
Sat 02/16/2019 17:49:13.49 Pinging www.google.com 
Sat 02/16/2019 17:49:14.53 Pinging www.google.com 
Sat 02/16/2019 17:49:15.57 Pinging www.google.com 
Sat 02/16/2019 17:49:16.62 Pinging www.google.com 
Sat 02/16/2019 17:49:17.66 Pinging www.google.com 
