Sat 02/16/2019 18:55:59.63 Initial tracert (trace route) to www.google.com  

Tracing route to www.google.com [216.58.194.196]
over a maximum of 30 hops:

  1    <1 ms    <1 ms    <1 ms  router.asus.com [192.168.1.1] 
Sat 02/16/2019 19:00:45.50 Pinging www.google.com  
Sat 02/16/2019 19:00:46.54 Pinging www.google.com  
Sat 02/16/2019 19:00:47.58 Pinging www.google.com  
Sat 02/16/2019 19:00:48.63 Pinging www.google.com  
Sat 02/16/2019 19:00:49.67 Pinging www.google.com  
Sat 02/16/2019 19:00:50.72 Pinging www.google.com  
Sat 02/16/2019 19:00:51.77 Pinging www.google.com  
Sat 02/16/2019 19:00:52.81 Pinging www.google.com  
Sat 02/16/2019 19:00:53.91 Pinging www.google.com  
Sat 02/16/2019 19:00:54.95 Pinging www.google.com  
Sat 02/16/2019 19:00:56.05 Pinging www.google.com  
Sat 02/16/2019 19:00:57.09 Pinging www.google.com  
Sat 02/16/2019 19:00:58.17 Pinging www.google.com  
Sat 02/16/2019 19:00:59.22 Pinging www.google.com  
Sat 02/16/2019 19:01:00.26 Pinging www.google.com  
Sat 02/16/2019 19:01:01.30 Pinging www.google.com  
Sat 02/16/2019 19:01:02.35 Pinging www.google.com  
Sat 02/16/2019 19:01:03.40 Pinging www.google.com  
Sat 02/16/2019 19:01:04.45 Pinging www.google.com  
Sat 02/16/2019 19:01:05.49 Pinging www.google.com  
Sat 02/16/2019 19:01:06.53 Pinging www.google.com  
Sat 02/16/2019 19:01:07.57 Pinging www.google.com  
Sat 02/16/2019 19:01:08.62 Pinging www.google.com  
Sat 02/16/2019 19:01:09.67 Pinging www.google.com  
Sat 02/16/2019 19:01:10.72 Pinging www.google.com  
Sat 02/16/2019 19:01:11.81 Pinging www.google.com  
Sat 02/16/2019 19:01:12.85 Pinging www.google.com  
Sat 02/16/2019 19:01:13.95 Pinging www.google.com  
Sat 02/16/2019 19:01:14.99 Pinging www.google.com  
Sat 02/16/2019 19:01:16.09 Pinging www.google.com  
Sat 02/16/2019 19:01:17.15 Pinging www.google.com  
Sat 02/16/2019 19:01:18.21 Pinging www.google.com  
Sat 02/16/2019 19:01:19.25 Pinging www.google.com  
Sat 02/16/2019 19:01:20.29 Pinging www.google.com  
Sat 02/16/2019 19:01:21.34 Pinging www.google.com  
Sat 02/16/2019 19:01:22.41 Pinging www.google.com  
Sat 02/16/2019 19:01:23.45 Pinging www.google.com  
Sat 02/16/2019 19:01:24.50 Pinging www.google.com  
Sat 02/16/2019 19:01:25.54 Pinging www.google.com  
Sat 02/16/2019 19:01:26.59 Pinging www.google.com  
Sat 02/16/2019 19:01:27.63 Pinging www.google.com  
Sat 02/16/2019 19:01:28.68 Pinging www.google.com  
Sat 02/16/2019 19:01:29.73 Pinging www.google.com  
Sat 02/16/2019 19:01:30.77 Pinging www.google.com  
Sat 02/16/2019 19:01:31.83 Pinging www.google.com  
Sat 02/16/2019 19:01:32.88 Pinging www.google.com  
Sat 02/16/2019 19:01:33.95 Pinging www.google.com  
Sat 02/16/2019 19:01:35.00 Pinging www.google.com  
Sat 02/16/2019 19:01:36.08 Pinging www.google.com  
Sat 02/16/2019 19:01:37.15 Pinging www.google.com  
Sat 02/16/2019 19:01:38.19 Pinging www.google.com  
Sat 02/16/2019 19:01:39.23 Pinging www.google.com  
Sat 02/16/2019 19:01:40.28 Pinging www.google.com  
Sat 02/16/2019 19:01:41.32 Pinging www.google.com  
Sat 02/16/2019 19:01:42.37 Pinging www.google.com  
Sat 02/16/2019 19:01:43.41 Pinging www.google.com  
Sat 02/16/2019 19:01:44.46 Pinging www.google.com  
Sat 02/16/2019 19:01:45.50 Pinging www.google.com  
Sat 02/16/2019 19:01:46.54 Pinging www.google.com  
Sat 02/16/2019 19:01:47.59 Pinging www.google.com  
Sat 02/16/2019 19:01:48.63 Pinging www.google.com  
Sat 02/16/2019 19:01:49.71 Pinging www.google.com  
Sat 02/16/2019 19:01:50.75 Pinging www.google.com  
Sat 02/16/2019 19:01:51.84 Pinging www.google.com  
Sat 02/16/2019 19:01:52.89 Pinging www.google.com  
Sat 02/16/2019 19:01:53.98 Pinging www.google.com  
Sat 02/16/2019 19:01:55.03 Pinging www.google.com  
Sat 02/16/2019 19:01:56.08 Pinging www.google.com  
Sat 02/16/2019 19:01:57.13 Pinging www.google.com  
Sat 02/16/2019 19:01:58.17 Pinging www.google.com  
Sat 02/16/2019 19:01:59.22 Pinging www.google.com  
Sat 02/16/2019 19:02:00.26 Pinging www.google.com  
Sat 02/16/2019 19:02:01.30 Pinging www.google.com  
Sat 02/16/2019 19:02:02.36 Pinging www.google.com  
Sat 02/16/2019 19:02:03.41 Pinging www.google.com  
Sat 02/16/2019 19:02:04.45 Pinging www.google.com  
Sat 02/16/2019 19:02:05.50 Pinging www.google.com  
Sat 02/16/2019 19:02:06.56 Pinging www.google.com  
Sat 02/16/2019 19:02:07.60 Pinging www.google.com  
Sat 02/16/2019 19:02:08.65 Pinging www.google.com  
Sat 02/16/2019 19:02:09.70 Pinging www.google.com  
Sat 02/16/2019 19:02:10.74 Pinging www.google.com  
Sat 02/16/2019 19:02:11.79 Pinging www.google.com  
Sat 02/16/2019 19:02:12.83 Pinging www.google.com  
Sat 02/16/2019 19:02:13.90 Pinging www.google.com  
Sat 02/16/2019 19:02:14.95 Pinging www.google.com  
Sat 02/16/2019 19:02:16.00 Pinging www.google.com  
Sat 02/16/2019 19:02:17.04 Pinging www.google.com  
Sat 02/16/2019 19:02:18.11 Pinging www.google.com  
Sat 02/16/2019 19:02:19.15 Pinging www.google.com  
Sat 02/16/2019 19:02:20.23 Pinging www.google.com  
Sat 02/16/2019 19:02:21.28 Pinging www.google.com  
Sat 02/16/2019 19:02:22.32 Pinging www.google.com  
Sat 02/16/2019 19:02:23.37 Pinging www.google.com  
Sat 02/16/2019 19:02:24.41 Pinging www.google.com  
Sat 02/16/2019 19:02:25.46 Pinging www.google.com  
Sat 02/16/2019 19:02:26.50 Pinging www.google.com  
Sat 02/16/2019 19:02:27.55 Pinging www.google.com  
Sat 02/16/2019 19:02:28.59 Pinging www.google.com  
Sat 02/16/2019 19:02:29.64 Pinging www.google.com  
Sat 02/16/2019 19:02:30.68 Pinging www.google.com  
Sat 02/16/2019 19:02:31.72 Pinging www.google.com  
Sat 02/16/2019 19:02:32.77 Pinging www.google.com  
Sat 02/16/2019 19:02:33.86 Pinging www.google.com  
Sat 02/16/2019 19:02:34.90 Pinging www.google.com  
Sat 02/16/2019 19:02:35.99 Pinging www.google.com  
Sat 02/16/2019 19:02:37.04 Pinging www.google.com  
Sat 02/16/2019 19:02:38.13 Pinging www.google.com  
Sat 02/16/2019 19:02:39.20 Pinging www.google.com  
Sat 02/16/2019 19:02:40.24 Pinging www.google.com  
Sat 02/16/2019 19:02:41.28 Pinging www.google.com  
Sat 02/16/2019 19:02:42.34 Pinging www.google.com  
Sat 02/16/2019 19:02:43.39 Pinging www.google.com  
Sat 02/16/2019 19:02:44.44 Pinging www.google.com  
Sat 02/16/2019 19:02:45.48 Pinging www.google.com  
Sat 02/16/2019 19:02:46.52 Pinging www.google.com  
Sat 02/16/2019 19:02:47.57 Pinging www.google.com  
Sat 02/16/2019 19:02:48.61 Pinging www.google.com  
Sat 02/16/2019 19:02:49.66 Pinging www.google.com  
Sat 02/16/2019 19:02:50.71 Pinging www.google.com  
Sat 02/16/2019 19:02:51.76 Pinging www.google.com  
Sat 02/16/2019 19:02:52.81 Pinging www.google.com  
Sat 02/16/2019 19:02:53.88 Pinging www.google.com  
Sat 02/16/2019 19:02:54.92 Pinging www.google.com  
Sat 02/16/2019 19:02:56.00 Pinging www.google.com  
Sat 02/16/2019 19:02:57.05 Pinging www.google.com  
Sat 02/16/2019 19:02:58.13 Pinging www.google.com  
Sat 02/16/2019 19:02:59.17 Pinging www.google.com  
Sat 02/16/2019 19:03:00.21 Pinging www.google.com  
Sat 02/16/2019 19:03:01.26 Pinging www.google.com  
Sat 02/16/2019 19:03:02.30 Pinging www.google.com  
Sat 02/16/2019 19:03:03.35 Pinging www.google.com  
Sat 02/16/2019 19:03:04.40 Pinging www.google.com  
Sat 02/16/2019 19:03:05.44 Pinging www.google.com  
Sat 02/16/2019 19:03:06.49 Pinging www.google.com  
Sat 02/16/2019 19:03:07.54 Pinging www.google.com  
